,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"DPS (Avg=Half HS, Ceiling=All HS)",,,,Damage (HS=Headshot),,,,,Time To Empty,,,,,,,,
Primary,Shotgun,Pump Shotgun,R6-Ruiner,★☆☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,145,,,,5,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Pump Shotgun,Pump-B3,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,135,,,,6,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Mag Fed Shotgun,X88 Trencher,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Pump Shotgun,Bulldog-45,★★★☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,180,,,,7,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Drum Fed Shotgun,Tundra-14,★★★☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,52,,,,14,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Drum Fed Shotgun,Breacher-S3,★★★★☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,56,,,,16,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Pump Shotgun,Sledge-X6,★★★★☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,195,,,,8,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Pump Shotgun,Disrupta-12,★★★★★☆,S,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,205,,255,,9,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Drum Fed Shotgun,Rampager-T1,★★★★★☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,60,,,,18,,,,FALSE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Pump Shotgun,LS3 Scythe,★★★★★★,S,65,33,0,100,39,,50,,10,6.0,,TRUE,FALSE,FALSE,FALSE,FALSE,,
Primary,Shotgun,Drum Fed Shotgun,Mauler-X,★★★★★★,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,72,,,,20,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,DMR,N/A,Longstrike-V5,★☆☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,40,80,,,7,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,DMR,N/A,KSR-5 Vulture,★★☆☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45,90,,,8,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,DMR,N/A,NV-91 Phantom,★★★☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,49,98,,,9,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,DMR,N/A,CRX-44 Deadline,★★★★☆☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,52,104,,,10,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,DMR,N/A,Skullpiercer-ZV-6,★★★★★☆,S,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,60,120,,,11,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,DMR,N/A,Precise-X,★★★★★★,GB,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Primary,Other,Assault Rifle,Explosive Crossbow,★★★★★★,GB,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,65,130,,,6,,,FALSE,FALSE,TRUE,FALSE,TRUE,,
Secondary,Pistol,Secondary Revolver,Lynx-21V,★☆☆☆☆☆,F,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,35,70,,,5,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Pistol,Secondary Pistol,VK-9 Sidearm,★☆☆☆☆☆,F,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,15,23,,,8,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Pistol,Secondary Pistol,ST-4 Handgun,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Pistol,Secondary Revolver,Anvil-7,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Pistol,Secondary Revolver,Coilbite-N65,★★★☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,42,84,55,,6,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Pistol,Secondary Pistol,M44 Tactical,★★★☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,17,26,,,12,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Pistol,Secondary Revolver,Oblitera-32,★★★★☆☆,N/D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,52,104,78,,8,,,FALSE,FALSE,FALSE,TRUE,FALSE,,
Secondary,Pistol,Secondary Revolver,Ironjaw-6,★★★★☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,46,92,,,7,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Pistol,Secondary Pistol,Python-6,★★★★☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,18,27,21,,14,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Pistol,Secondary Revolver,B7 Magnum,★★★★★☆,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,52,104,,,8,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Pistol,Secondary Pistol,SH-303 Silencer,★★★★★☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,20,30,,,16,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Pistol,Secondary Revolver,Explosive Handcannon,★★★★★★,Meta,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,45,90,,,8,,,FALSE,FALSE,TRUE,FALSE,TRUE,,
Secondary,Pistol,Secondary Pistol,G-5 Executor,★★★★★★,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,22,33,,,18,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Machine Pistol,Secondary SMG,HX-12 Combat,★☆☆☆☆☆,F,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,13,20,,,14,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Machine Pistol,Secondary SMG,Raze-T14,★★☆☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Machine Pistol,Secondary SMG,Vex-9,★★★☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,15,23,16,,18,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Machine Pistol,Secondary SMG,SW-11 Barracuda,★★★★☆☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,16,24,,,20,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Machine Pistol,Secondary SMG,66X Accelerator,★★★★★☆,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,17,26,20,,22,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Machine Pistol,Secondary SMG,Quickfire-5X,★★★★★★,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,18,27,,,24,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Other,Secondary Shotgun,X-75 Hunter,★☆☆☆☆☆,D,25,32,38,60,25,38,,,1,1.0,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Other,Secondary Shotgun,Gutshot-T2,★★☆☆☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Other,Secondary Shotgun,Double Barrel,★★★☆☆☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,135,,,,2,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Other,Secondary Shotgun,Tri-Boom,★★★★☆☆,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,165,,205,,3,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Other,N/A,EXT-3 Impact,★★★★★☆,A,34,17,0,60,34,,,,1,1.0,,FALSE,FALSE,TRUE,FALSE,FALSE,,
Secondary,Other,Secondary Shotgun,RT-200 Blaster,★★★★★☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,130,,,,6,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Secondary,Other,Secondary Shotgun,Venomspitter-X,★★★★★★,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,,
Secondary,Other,N/A,Scorcher-X12,★★★★★★,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,2,2,,30,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
Support,N/A,N/A,ZR-12 LMG,★☆☆☆☆☆,F,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,15,23,19,,60,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Support,N/A,N/A,Kilo-77 LMG,★★☆☆☆☆,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,16,24,20,,80,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Support,N/A,N/A,Flamethrower,★★★☆☆☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3,3,4,,60,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
Support,N/A,N/A,Sta-3 LMG,★★★☆☆☆,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,19,29,24,,100,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Support,N/A,N/A,RPG,★★★☆☆☆,B,195,195,195,60,195,195,,,1,1.0,,FALSE,FALSE,TRUE,FALSE,FALSE,,
Support,N/A,N/A,Argus-6 LMG,★★★★☆☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,21,32,26,39,120,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Support,N/A,N/A,Tetanus-VX LMG,★★★★★☆,D,170,215,259,409,25,38,31,,150,22.0,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Support,N/A,N/A,Tri-Launcher,★★★★★☆,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,74,74,130,,3,,,FALSE,FALSE,TRUE,FALSE,FALSE,,
Support,N/A,N/A,Havoc Launcher,★★★★★☆,D,74,74,74,15,297,297,518,518,1,1.0,3.0,FALSE,FALSE,TRUE,FALSE,TRUE,,
Support,N/A,N/A,Minigun,★★★★★★,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,
Support,N/A,N/A,Railgun,★★★★★★,GB,87,282,477,20,260,1430,325,1788,1,1.0,2.0,FALSE,FALSE,FALSE,FALSE,TRUE,,
Support,N/A,N/A,Hellspitter,★★★★★★,B,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,6,6,8,,100,,,TRUE,FALSE,FALSE,FALSE,FALSE,,
